LineId,Date,Time,Level,Component,Content,GroupTemplate,GroupTokens,idxDynamicTok,DynamicTokList,StaticTokList,EventTemplate
26,17/06/09,20:10:45,INFO,executor.Executor,Running task 2.0 in stage 0.0 (TID 2),4bbf633376c9c596ee422f0bc34b5042,"['Running', 'task', '<*>', 'in', 'stage', '<*>', '(TID', '<*>']",[7],"[['2', ')']]","[['<*>', ')']]",Running task <*> in stage <*> (TID <*>)
27,17/06/09,20:10:45,INFO,executor.Executor,Running task 1.0 in stage 0.0 (TID 1),4bbf633376c9c596ee422f0bc34b5042,"['Running', 'task', '<*>', 'in', 'stage', '<*>', '(TID', '<*>']",[7],"[['1', ')']]","[['<*>', ')']]",Running task <*> in stage <*> (TID <*>)
28,17/06/09,20:10:45,INFO,executor.Executor,Running task 3.0 in stage 0.0 (TID 3),4bbf633376c9c596ee422f0bc34b5042,"['Running', 'task', '<*>', 'in', 'stage', '<*>', '(TID', '<*>']",[7],"[['3', ')']]","[['<*>', ')']]",Running task <*> in stage <*> (TID <*>)
29,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 4,ed0bb5a911190b4cb7991c8859d3990b,"['Got', 'assigned', 'task', '<*>']",[],[],[],Got assigned task <*>
30,17/06/09,20:10:45,INFO,executor.Executor,Running task 4.0 in stage 0.0 (TID 4),4bbf633376c9c596ee422f0bc34b5042,"['Running', 'task', '<*>', 'in', 'stage', '<*>', '(TID', '<*>']",[7],"[['4', ')']]","[['<*>', ')']]",Running task <*> in stage <*> (TID <*>)
31,17/06/09,20:10:45,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 9,7dd42265327239c49549a261d4608897,"['Started', 'reading', 'broadcast', 'variable', '<*>']",[],[],[],Started reading broadcast variable <*>
32,17/06/09,20:10:45,INFO,storage.MemoryStore,"Block broadcast_9_piece0 stored as bytes in memory (estimated size 5.2 KB, free 5.2 KB)",78ff11bdb2baddb66f3f2ba1ac0bddfe,"['Block', '<*>', 'stored', 'as', 'bytes', 'in', 'memory', '(estimated', 'size', '<*>', 'KB,', 'free', '<*>', 'KB)']",[],[],[],"Block <*> stored as bytes in memory (estimated size <*> KB, free <*> KB)"
33,17/06/09,20:10:45,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 9 took 160 ms,751c8376cbc1d0543e2188c56e562c26,"['Reading', 'broadcast', 'variable', '<*>', 'took', '<*>', 'ms']",[],[],[],Reading broadcast variable <*> took <*> ms
34,17/06/09,20:10:46,INFO,storage.MemoryStore,"Block broadcast_9 stored as values in memory (estimated size 8.8 KB, free 14.0 KB)",b8c7d1cab9f5369b82054b9af5144920,"['Block', '<*>', 'stored', 'as', 'values', 'in', 'memory', '(estimated', 'size', '<*>', 'KB,', 'free', '<*>', 'KB)']",[],[],[],"Block <*> stored as values in memory (estimated size <*> KB, free <*> KB)"
35,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_1 not found, computing it",bb7fd44804be5354839592e368258d7f,"['Partition', '<*>', 'not', 'found,', 'computing', 'it']",[],[],[],"Partition <*> not found, computing it"
36,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_3 not found, computing it",bb7fd44804be5354839592e368258d7f,"['Partition', '<*>', 'not', 'found,', 'computing', 'it']",[],[],[],"Partition <*> not found, computing it"
37,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_0 not found, computing it",bb7fd44804be5354839592e368258d7f,"['Partition', '<*>', 'not', 'found,', 'computing', 'it']",[],[],[],"Partition <*> not found, computing it"
38,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_2 not found, computing it",bb7fd44804be5354839592e368258d7f,"['Partition', '<*>', 'not', 'found,', 'computing', 'it']",[],[],[],"Partition <*> not found, computing it"
39,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_4 not found, computing it",bb7fd44804be5354839592e368258d7f,"['Partition', '<*>', 'not', 'found,', 'computing', 'it']",[],[],[],"Partition <*> not found, computing it"
40,17/06/09,20:10:46,INFO,rdd.HadoopRDD,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:21876+7292,23ce031ff2637837908dcb3cd311f6ce,"['Input', 'split:', 'hdfs:<*>']",[2],"[['hdfs', ':', '//10.10.34.11', ':', '9000/pjhe/logs/2kSOSP.log', ':', '21876+7292']]","[['hdfs', ':', '<*>', ':', '<*>', ':', '<*>']]",Input split: hdfs:<*>
41,17/06/09,20:10:46,INFO,rdd.HadoopRDD,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:14584+7292,23ce031ff2637837908dcb3cd311f6ce,"['Input', 'split:', '<*>']",[2],"[['hdfs', ':', '//10.10.34.11', ':', '9000/pjhe/logs/2kSOSP.log', ':', '14584+7292']]","[['hdfs', ':', '<*>', ':', '<*>', ':', '<*>']]",Input split: hdfs:<*>
42,17/06/09,20:10:46,INFO,rdd.HadoopRDD,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:0+7292,23ce031ff2637837908dcb3cd311f6ce,"['Input', 'split:', '<*>']",[2],"[['hdfs', ':', '//10.10.34.11', ':', '9000/pjhe/logs/2kSOSP.log', ':', '0+7292']]","[['hdfs', ':', '<*>', ':', '<*>', ':', '<*>']]",Input split: hdfs:<*>
43,17/06/09,20:10:46,INFO,rdd.HadoopRDD,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:7292+7292,23ce031ff2637837908dcb3cd311f6ce,"['Input', 'split:', '<*>']",[2],"[['hdfs', ':', '//10.10.34.11', ':', '9000/pjhe/logs/2kSOSP.log', ':', '7292+7292']]","[['hdfs', ':', '<*>', ':', '<*>', ':', '<*>']]",Input split: hdfs:<*>
44,17/06/09,20:10:46,INFO,rdd.HadoopRDD,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:29168+7292,23ce031ff2637837908dcb3cd311f6ce,"['Input', 'split:', '<*>']",[2],"[['hdfs', ':', '//10.10.34.11', ':', '9000/pjhe/logs/2kSOSP.log', ':', '29168+7292']]","[['hdfs', ':', '<*>', ':', '<*>', ':', '<*>']]",Input split: hdfs:<*>
45,17/06/09,20:10:46,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 8,7dd42265327239c49549a261d4608897,"['Started', 'reading', 'broadcast', 'variable', '<*>']",[],[],[],Started reading broadcast variable <*>
46,17/06/09,20:10:46,INFO,storage.MemoryStore,"Block broadcast_8_piece0 stored as bytes in memory (estimated size 21.4 KB, free 35.4 KB)",78ff11bdb2baddb66f3f2ba1ac0bddfe,"['Block', '<*>', 'stored', 'as', 'bytes', 'in', 'memory', '(estimated', 'size', '<*>', 'KB,', 'free', '<*>', 'KB)']",[],[],[],"Block <*> stored as bytes in memory (estimated size <*> KB, free <*> KB)"
47,17/06/09,20:10:46,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 8 took 19 ms,751c8376cbc1d0543e2188c56e562c26,"['Reading', 'broadcast', 'variable', '<*>', 'took', '<*>', 'ms']",[],[],[],Reading broadcast variable <*> took <*> ms
48,17/06/09,20:10:46,INFO,storage.MemoryStore,"Block broadcast_8 stored as values in memory (estimated size 281.6 KB, free 317.0 KB)",b8c7d1cab9f5369b82054b9af5144920,"['Block', '<*>', 'stored', 'as', 'values', 'in', 'memory', '(estimated', 'size', '<*>', 'KB,', 'free', '<*>', 'KB)']",[],[],[],"Block <*> stored as values in memory (estimated size <*> KB, free <*> KB)"
49,17/06/09,20:10:47,INFO,Configuration.deprecation,"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",0a57660c8484423b9e9950bd6b01be11,"['mapred.tip.id', 'is', 'deprecated.', 'Instead,', 'use', 'mapreduce.task.id']",[],[],[],"<*> is deprecated. Instead, use <*>"
50,17/06/09,20:10:47,INFO,Configuration.deprecation,"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",42dd50744740afa085f4fb57e5ec6cb2,"['mapred.task.id', 'is', 'deprecated.', 'Instead,', 'use', 'mapreduce.task.attempt.id']",[],[],[],"<*> is deprecated. Instead, use <*>"
51,17/06/09,20:10:47,INFO,Configuration.deprecation,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",d2915a6d96f521a7e47c26a7cb71027c,"['mapred.task.is.map', 'is', 'deprecated.', 'Instead,', 'use', 'mapreduce.task.ismap']",[],[],[],"<*> is deprecated. Instead, use <*>"
52,17/06/09,20:10:47,INFO,Configuration.deprecation,"mapred.job.id is deprecated. Instead, use mapreduce.job.id",9ff927a21d315e9a9e41d791aab6a4b1,"['mapred.job.id', 'is', 'deprecated.', 'Instead,', 'use', 'mapreduce.job.id']",[],[],[],"<*> is deprecated. Instead, use <*>"
53,17/06/09,20:10:47,INFO,Configuration.deprecation,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",fe52459f40811f5ec9346385869c23de,"['mapred.task.partition', 'is', 'deprecated.', 'Instead,', 'use', 'mapreduce.task.partition']",[],[],[],"<*> is deprecated. Instead, use <*>"
54,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 0,7dd42265327239c49549a261d4608897,"['Started', 'reading', 'broadcast', 'variable', '<*>']",[],[],[],Started reading broadcast variable <*>
55,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_0_piece0 stored as bytes in memory (estimated size 93.0 B, free 317.1 KB)",83022d9836b4c27cc253bfa0ab0b97ea,"['Block', '<*>', 'stored', 'as', 'bytes', 'in', 'memory', '(estimated', 'size', '<*>', 'B,', 'free', '<*>', 'KB)']",[],[],[],"Block <*> stored as bytes in memory (estimated size <*> B, free <*> KB)"
56,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 0 took 21 ms,751c8376cbc1d0543e2188c56e562c26,"['Reading', 'broadcast', 'variable', '<*>', 'took', '<*>', 'ms']",[],[],[],Reading broadcast variable <*> took <*> ms
57,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_0 stored as values in memory (estimated size 384.0 B, free 317.5 KB)",08b6e3121f4e9eb6b2b7f1b7f0acbf19,"['Block', '<*>', 'stored', 'as', 'values', 'in', 'memory', '(estimated', 'size', '<*>', 'B,', 'free', '<*>', 'KB)']",[],[],[],"Block <*> stored as values in memory (estimated size <*> B, free <*> KB)"
58,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 4,7dd42265327239c49549a261d4608897,"['Started', 'reading', 'broadcast', 'variable', '<*>']",[],[],[],Started reading broadcast variable <*>
59,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_4_piece0 stored as bytes in memory (estimated size 95.0 B, free 317.6 KB)",83022d9836b4c27cc253bfa0ab0b97ea,"['Block', '<*>', 'stored', 'as', 'bytes', 'in', 'memory', '(estimated', 'size', '<*>', 'B,', 'free', '<*>', 'KB)']",[],[],[],"Block <*> stored as bytes in memory (estimated size <*> B, free <*> KB)"
60,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 4 took 18 ms,751c8376cbc1d0543e2188c56e562c26,"['Reading', 'broadcast', 'variable', '<*>', 'took', '<*>', 'ms']",[],[],[],Reading broadcast variable <*> took <*> ms
61,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_4 stored as values in memory (estimated size 384.0 B, free 318.0 KB)",08b6e3121f4e9eb6b2b7f1b7f0acbf19,"['Block', '<*>', 'stored', 'as', 'values', 'in', 'memory', '(estimated', 'size', '<*>', 'B,', 'free', '<*>', 'KB)']",[],[],[],"Block <*> stored as values in memory (estimated size <*> B, free <*> KB)"
62,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 3,7dd42265327239c49549a261d4608897,"['Started', 'reading', 'broadcast', 'variable', '<*>']",[],[],[],Started reading broadcast variable <*>
63,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_3_piece0 stored as bytes in memory (estimated size 152.0 B, free 318.1 KB)",83022d9836b4c27cc253bfa0ab0b97ea,"['Block', '<*>', 'stored', 'as', 'bytes', 'in', 'memory', '(estimated', 'size', '<*>', 'B,', 'free', '<*>', 'KB)']",[],[],[],"Block <*> stored as bytes in memory (estimated size <*> B, free <*> KB)"
64,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 3 took 17 ms,751c8376cbc1d0543e2188c56e562c26,"['Reading', 'broadcast', 'variable', '<*>', 'took', '<*>', 'ms']",[],[],[],Reading broadcast variable <*> took <*> ms
65,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_3 stored as values in memory (estimated size 384.0 B, free 318.5 KB)",08b6e3121f4e9eb6b2b7f1b7f0acbf19,"['Block', '<*>', 'stored', 'as', 'values', 'in', 'memory', '(estimated', 'size', '<*>', 'B,', 'free', '<*>', 'KB)']",[],[],[],"Block <*> stored as values in memory (estimated size <*> B, free <*> KB)"
66,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 1,7dd42265327239c49549a261d4608897,"['Started', 'reading', 'broadcast', 'variable', '<*>']",[],[],[],Started reading broadcast variable <*>
67,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_1_piece0 stored as bytes in memory (estimated size 107.0 B, free 318.6 KB)",83022d9836b4c27cc253bfa0ab0b97ea,"['Block', '<*>', 'stored', 'as', 'bytes', 'in', 'memory', '(estimated', 'size', '<*>', 'B,', 'free', '<*>', 'KB)']",[],[],[],"Block <*> stored as bytes in memory (estimated size <*> B, free <*> KB)"
68,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 1 took 16 ms,751c8376cbc1d0543e2188c56e562c26,"['Reading', 'broadcast', 'variable', '<*>', 'took', '<*>', 'ms']",[],[],[],Reading broadcast variable <*> took <*> ms
69,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_1 stored as values in memory (estimated size 384.0 B, free 319.0 KB)",08b6e3121f4e9eb6b2b7f1b7f0acbf19,"['Block', '<*>', 'stored', 'as', 'values', 'in', 'memory', '(estimated', 'size', '<*>', 'B,', 'free', '<*>', 'KB)']",[],[],[],"Block <*> stored as values in memory (estimated size <*> B, free <*> KB)"
70,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 2,7dd42265327239c49549a261d4608897,"['Started', 'reading', 'broadcast', 'variable', '<*>']",[],[],[],Started reading broadcast variable <*>
71,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_2_piece0 stored as bytes in memory (estimated size 93.0 B, free 319.0 KB)",83022d9836b4c27cc253bfa0ab0b97ea,"['Block', '<*>', 'stored', 'as', 'bytes', 'in', 'memory', '(estimated', 'size', '<*>', 'B,', 'free', '<*>', 'KB)']",[],[],[],"Block <*> stored as bytes in memory (estimated size <*> B, free <*> KB)"
72,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 2 took 16 ms,751c8376cbc1d0543e2188c56e562c26,"['Reading', 'broadcast', 'variable', '<*>', 'took', '<*>', 'ms']",[],[],[],Reading broadcast variable <*> took <*> ms
73,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_2 stored as values in memory (estimated size 384.0 B, free 319.4 KB)",08b6e3121f4e9eb6b2b7f1b7f0acbf19,"['Block', '<*>', 'stored', 'as', 'values', 'in', 'memory', '(estimated', 'size', '<*>', 'B,', 'free', '<*>', 'KB)']",[],[],[],"Block <*> stored as values in memory (estimated size <*> B, free <*> KB)"
74,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 1072, boot = 856, init = 210, finish = 6",9e2b95ef03d096b0d9069b6fc56eadee,"['Times:', 'total', '=', '<*>,', 'boot', '=', '<*>,', 'init', '=', '<*>,', 'finish', '=', '<*>']","[3, 6, 9]","[['1072', ','], ['856', ','], ['210', ',']]","[['<*>', ','], ['<*>', ','], ['<*>', ',']]","Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
75,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 1114, boot = 885, init = 223, finish = 6",9e2b95ef03d096b0d9069b6fc56eadee,"['Times:', 'total', '=', '<*>', 'boot', '=', '<*>', 'init', '=', '<*>', 'finish', '=', '<*>']","[3, 6, 9]","[['1114', ','], ['885', ','], ['223', ',']]","[['<*>', ','], ['<*>', ','], ['<*>', ',']]","Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
76,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 1074, boot = 869, init = 199, finish = 6",9e2b95ef03d096b0d9069b6fc56eadee,"['Times:', 'total', '=', '<*>', 'boot', '=', '<*>', 'init', '=', '<*>', 'finish', '=', '<*>']","[3, 6, 9]","[['1074', ','], ['869', ','], ['199', ',']]","[['<*>', ','], ['<*>', ','], ['<*>', ',']]","Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
77,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 1078, boot = 851, init = 219, finish = 8",9e2b95ef03d096b0d9069b6fc56eadee,"['Times:', 'total', '=', '<*>', 'boot', '=', '<*>', 'init', '=', '<*>', 'finish', '=', '<*>']","[3, 6, 9]","[['1078', ','], ['851', ','], ['219', ',']]","[['<*>', ','], ['<*>', ','], ['<*>', ',']]","Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
78,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 1077, boot = 865, init = 206, finish = 6",9e2b95ef03d096b0d9069b6fc56eadee,"['Times:', 'total', '=', '<*>', 'boot', '=', '<*>', 'init', '=', '<*>', 'finish', '=', '<*>']","[3, 6, 9]","[['1077', ','], ['865', ','], ['206', ',']]","[['<*>', ','], ['<*>', ','], ['<*>', ',']]","Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
79,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block rdd_2_2 stored as bytes in memory (estimated size 850.0 B, free 320.3 KB)",83022d9836b4c27cc253bfa0ab0b97ea,"['Block', '<*>', 'stored', 'as', 'bytes', 'in', 'memory', '(estimated', 'size', '<*>', 'B,', 'free', '<*>', 'KB)']",[],[],[],"Block <*> stored as bytes in memory (estimated size <*> B, free <*> KB)"
80,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block rdd_2_3 stored as bytes in memory (estimated size 930.0 B, free 321.2 KB)",83022d9836b4c27cc253bfa0ab0b97ea,"['Block', '<*>', 'stored', 'as', 'bytes', 'in', 'memory', '(estimated', 'size', '<*>', 'B,', 'free', '<*>', 'KB)']",[],[],[],"Block <*> stored as bytes in memory (estimated size <*> B, free <*> KB)"
81,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block rdd_2_1 stored as bytes in memory (estimated size 935.0 B, free 322.1 KB)",83022d9836b4c27cc253bfa0ab0b97ea,"['Block', '<*>', 'stored', 'as', 'bytes', 'in', 'memory', '(estimated', 'size', '<*>', 'B,', 'free', '<*>', 'KB)']",[],[],[],"Block <*> stored as bytes in memory (estimated size <*> B, free <*> KB)"
82,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block rdd_2_0 stored as bytes in memory (estimated size 913.0 B, free 323.0 KB)",83022d9836b4c27cc253bfa0ab0b97ea,"['Block', '<*>', 'stored', 'as', 'bytes', 'in', 'memory', '(estimated', 'size', '<*>', 'B,', 'free', '<*>', 'KB)']",[],[],[],"Block <*> stored as bytes in memory (estimated size <*> B, free <*> KB)"
83,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block rdd_2_4 stored as bytes in memory (estimated size 890.0 B, free 323.8 KB)",83022d9836b4c27cc253bfa0ab0b97ea,"['Block', '<*>', 'stored', 'as', 'bytes', 'in', 'memory', '(estimated', 'size', '<*>', 'B,', 'free', '<*>', 'KB)']",[],[],[],"Block <*> stored as bytes in memory (estimated size <*> B, free <*> KB)"
84,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 38, boot = 11, init = 27, finish = 0",9e2b95ef03d096b0d9069b6fc56eadee,"['Times:', 'total', '=', '<*>', 'boot', '=', '<*>', 'init', '=', '<*>', 'finish', '=', '<*>']","[3, 6, 9]","[['38', ','], ['11', ','], ['27', ',']]","[['<*>', ','], ['<*>', ','], ['<*>', ',']]","Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
